Date,Open,High,Low,Close,Adj Close,Volume,MA_short,MA_long,MACD,MACD_signal,RSI,BOLL_mid,BOLL_up,BOLL_low,BOLL_bw,BOLL_bw_med,Return,Signal,Position,Cost,Strategy_Return
2022-01-03,1.3522284030914309,1.353179931640625,1.343273639678955,1.3522284030914309,1.3522284030914309,0,1.332499897480011,1.3469301164150238,0.003050216370372283,-0.0006166946343576192,77.54362830070303,1.332499897480011,1.3543588849609705,1.3106409099990517,0.032808989362473534,0.026961970873216688,0.0017713986153806704,0.0,0.0,0.0,0.0
2022-01-04,1.3482794761657717,1.3556748628616333,1.3460761308670044,1.3483266830444336,1.3483266830444336,0,1.3335944354534148,1.3467511455217998,0.003404683717044943,0.00018758103592289327,71.6953678975963,1.3335944354534148,1.3563488586409325,1.3108400122658972,0.034124952208249515,0.026961970873216688,-0.0028854001573086485,0.0,0.0,0.0,-0.0
2022-01-05,1.353051781654358,1.3573309183120728,1.3522651195526123,1.353143334388733,1.353143334388733,0,1.3350211679935455,1.3466721375783284,0.004027834780028217,0.0009556317847439579,72.43111366245668,1.3350211679935455,1.3589512518013267,1.3110910841857644,0.03584974438082747,0.026961970873216688,0.0035723177512319015,0.0,0.0,0.0,0.0
2022-01-06,1.355546236038208,1.3557482957839966,1.3491089344024658,1.3555645942687988,1.3555645942687988,0,1.3367492020130158,1.3464828272660574,0.0046633062325700525,0.001697166674309177,70.64442939886774,1.3367492020130158,1.361397931013033,1.3121004730129986,0.03687861412282667,0.02713870171146683,0.0017893594998639184,0.0,0.0,0.0,0.0
2022-01-07,1.3533997535705566,1.3583449125289917,1.3529419898986816,1.353363037109375,1.353363037109375,0,1.3382972836494447,1.3462574462095895,0.004932416842412968,0.0023442167079299353,81.07925743502771,1.3382972836494447,1.3630407605395596,1.3135538067593298,0.03697754929703086,0.027701835783455468,-0.0016240887145708705,0.0,0.0,0.0,-0.0
2022-01-10,1.3590834140777588,1.3601926565170288,1.353417992591858,1.3592311143875122,1.3592311143875122,0,1.3399730980396272,1.3459753076235452,0.005555157338495542,0.0029864048340430566,86.16020890931448,1.3399730980396272,1.3656507692615532,1.3142954268177012,0.038325651850014415,0.02827174664457053,0.004335922525762648,0.0,0.0,0.0,0.0
2022-01-11,1.3581697940826416,1.362416386604309,1.3562816381454468,1.3580313920974731,1.3580313920974731,0,1.3418070137500764,1.3457150757312775,0.005884048458004276,0.0035659335588353012,82.29525261162095,1.3418070137500764,1.367121915516059,1.3164921119840938,0.03773255245585971,0.028529161946870163,-0.0008826477538219635,0.0,0.0,0.0,-0.0
2022-01-12,1.3634008169174194,1.3699380159378052,1.362212300300598,1.3633265495300293,1.3633265495300293,0,1.3438208103179932,1.3454485217730203,0.006497077723373268,0.004152162391742895,81.14115097163855,1.3438208103179932,1.3692608976523524,1.318380722983634,0.03786232083775995,0.028951020385486866,0.0038991421430825124,0.0,0.0,0.0,0.0
2022-01-13,1.3706891536712646,1.374948501586914,1.37055766582489,1.3709993362426758,1.3709993362426758,0,1.346055144071579,1.3452601790428163,0.0075154046892909054,0.004824810851252498,82.02221176423187,1.346055144071579,1.3728348801083257,1.3192754080348321,0.03978995385841742,0.028951020385486866,0.005627988918202709,1.0,0.0,0.0,0.0
2022-01-14,1.371290683746338,1.374192714691162,1.3667699098587036,1.3713659048080444,1.3713659048080444,0,1.3480047404766082,1.3451309422651927,0.008256835506101234,0.005511215782222245,82.56149525955712,1.3480047404766082,1.3762291214682005,1.319780359485016,0.04187578892580619,0.028951020385486866,0.0002673732624651759,1.0,1.0,0.0,0.0002673732624651759
2022-01-17,1.367353081703186,1.3688992261886597,1.3638657331466677,1.367353081703186,1.367353081703186,0,1.3502252042293548,1.344982276360194,0.008423522359840563,0.006093677097745909,74.20987231446571,1.3502252042293548,1.377103578277644,1.3233468301810656,0.03981317185325407,0.028951020385486866,-0.002926150556018192,1.0,1.0,0.0,-0.002926150556018192
2022-01-18,1.364800214767456,1.366120219230652,1.3576257228851318,1.364800214767456,1.364800214767456,0,1.3524151921272278,1.3447882195313772,0.008254475411517026,0.0065258367605001335,71.78009508930927,1.3524151921272278,1.3762304784173518,1.3285999058371039,0.035218897907623566,0.028951020385486866,-0.001867013699599851,1.0,1.0,0.0,-0.001867013699599851
2022-01-19,1.3600815534591677,1.36481511592865,1.3589357137680054,1.3600261211395264,1.3600261211395264,0,1.3540683031082152,1.344511753320694,0.0076471237476507525,0.006750094157930257,60.67722706700509,1.3540683031082152,1.3748405004613509,1.3332961057550796,0.030681166238739642,0.028951020385486866,-0.003498016468837628,1.0,1.0,0.0,-0.003498016468837628
2022-01-20,1.360951542854309,1.3661575317382812,1.3601555824279783,1.360858917236328,1.360858917236328,0,1.3553511202335358,1.344304621219635,0.007150565594250757,0.006830188445194357,61.40784245983735,1.3553511202335358,1.3743072146909454,1.3363950257761261,0.027972226789679987,0.028951020385486866,0.0006123383101670488,1.0,1.0,0.0,0.0006123383101670488
2022-01-21,1.3600261211395264,1.3603591918945312,1.3547565937042236,1.359767198562622,1.359767198562622,0,1.3563063621520997,1.3439662118752798,0.006592947709846975,0.006782740298124881,58.01866457028357,1.3563063621520997,1.374031316549746,1.3385814077544533,0.02613709541186772,0.028951020385486866,-0.0008022276665702321,0.0,1.0,0.0,-0.0008022276665702321
2022-01-24,1.3554911613464355,1.3566679954528809,1.3443028926849363,1.3555830717086792,1.3555830717086792,0,1.3570639967918396,1.3437538305918375,0.005747157792579616,0.006575623797015828,57.67218974587793,1.3570639967918396,1.3731514069738628,1.3409765866098164,0.023709140055376252,0.028951020385486866,-0.0030770905919527136,0.0,0.0,0.0,-0.0
2022-01-25,1.348981499671936,1.3500559329986572,1.343706727027893,1.3489269018173218,1.3489269018173218,0,1.3572970092296601,1.3434769133726756,0.004488030683243993,0.006158105174261462,45.70887826656634,1.3572970092296601,1.37272546586609,1.3418685525932303,0.022734090669198875,0.028951020385486866,-0.00491018959315237,0.0,0.0,0.0,-0.0
2022-01-26,1.351040959358215,1.3524478673934937,1.3494184017181396,1.3510775566101074,1.3510775566101074,0,1.357684499025345,1.3432992180188497,0.0036219516416420294,0.005650874467737576,45.40818816181131,1.357684499025345,1.371983676563956,1.343385321486734,0.021064065397927257,0.028951020385486866,0.0015943449492246131,0.0,0.0,0.0,0.0
2022-01-27,1.34678316116333,1.34678316116333,1.3360588550567627,1.3468012809753418,1.3468012809753418,0,1.3575305998325349,1.342921108007431,0.0025609964827228993,0.005032898870734642,43.558549281006535,1.3575305998325349,1.3722437506053802,1.3428174490596896,0.021676344937875156,0.028951020385486866,-0.0031650852416607034,0.0,0.0,0.0,-0.0
